Date	Time	p1	p2
26Nov15	14:24	18.9	-23.3
26Nov15	14:25	18.4	-22.8
26Nov15	14:26	20.9	-24.3
26Nov15	14:27	1.7	-29.3
26Nov15	14:28	-1.7	-36.1
26Nov15	14:29	-0.8	-36.6
26Nov15	14:30	8.9	-33.0
26Nov15	14:31	6.1	-36.6
26Nov15	14:32	6.1	-40.1
26Nov15	14:33	11.3	-39.2
26Nov15	14:34	18.2	-26.6
26Nov15	14:35	15.4	-19.4
26Nov15	14:36	14.1	-24.5
26Nov15	14:37	26.2	-14.8
26Nov15	14:38	13.1	-24.7
26Nov15	14:39	15.4	-28.4
26Nov15	14:40	9.9	-35.4
26Nov15	14:41	-1.0	-36.8
26Nov15	14:42	-4.3	-43.8
26Nov15	14:43	-4.2	-37.8
26Nov15	14:44	-1.0	-37.1
26Nov15	14:45	14.4	-29.3
26Nov15	14:46	8.3	-23.1
26Nov15	14:47	25.1	-17.0
26Nov15	14:48	30.2	-9.7
26Nov15	14:49	30.9	-15.7
26Nov15	14:50	33.1	-14.6
26Nov15	14:51	24.2	-20.5
26Nov15	14:52	14.5	-22.4
26Nov15	14:53	16.7	-25.9
26Nov15	14:54	19.6	-24.0
26Nov15	14:55	20.9	-22.3
26Nov15	14:56	15.7	-25.4
26Nov15	14:57	15.7	-23.1
26Nov15	14:58	12.5	-21.9
26Nov15	14:59	28.3	-20.6
26Nov15	15:00	37.9	-12.2
26Nov15	15:01	32.0	-11.2
26Nov15	15:02	26.0	-15.5
26Nov15	15:03	41.9	-18.1
26Nov15	15:04	25.4	-20.5
26Nov15	15:05	22.9	-30.7
26Nov15	15:06	17.0	-29.3
26Nov15	15:07	16.4	-26.0
26Nov15	15:08	19.3	-27.2
26Nov15	15:09	25.9	-32.7
26Nov15	15:10	13.1	-29.2
